epoch,train_loss,valid_loss,dice_score
0,0.168658,0.107449,0.895780
1,0.070157,0.066146,0.935794
2,0.056718,0.067449,0.934964
3,0.051395,0.052821,0.945409
4,0.047816,0.049511,0.944735
5,0.045537,0.054135,0.939058
6,0.048568,0.044575,0.951895
7,0.046034,0.040787,0.952563
8,0.046405,0.042383,0.954113
9,0.045636,0.044968,0.950112
10,0.047151,0.048360,0.946753
11,0.044307,0.039465,0.956758
12,0.048950,0.043649,0.954142
13,0.052241,0.049632,0.945200
14,0.045275,0.042412,0.953755
15,0.072729,0.054705,0.937600
16,0.047903,0.039832,0.955361
17,0.051419,0.051616,0.943530
