epoch,train_loss,valid_loss,dice_score
0,0.976636,0.990407,0.108881
1,0.446135,0.235987,0.780489
2,0.202743,0.176401,0.813162
3,0.172630,0.165415,0.810003
4,0.161346,0.246414,0.752089
5,0.152323,0.172584,0.810285
6,0.158390,0.227738,0.764254
7,0.151914,0.159393,0.815354
8,0.149929,0.174077,0.808633
9,0.148497,0.176130,0.802388
10,0.147507,0.152390,0.820426
11,0.148847,0.161638,0.817911
12,0.145045,0.159790,0.818791
13,0.143793,0.153386,0.823808
14,0.147538,0.155916,0.819906
15,0.143582,0.158217,0.826527
16,0.140291,0.158126,0.821937
17,0.139848,0.155931,0.823032
18,0.139409,0.163848,0.817461
19,0.137841,0.165854,0.817925
20,0.134697,0.175092,0.807452
21,0.132441,0.158050,0.825451
