epoch,train_loss,valid_loss,dice_score
0,0.363734,0.233561,0.797822
1,0.195463,0.184376,0.792036
2,0.168623,0.172700,0.809825
3,0.164249,0.169799,0.808226
4,0.161654,0.166083,0.807009
5,0.156889,0.164504,0.819586
6,0.156331,0.163369,0.806405
7,0.151388,0.165325,0.819623
8,0.148542,0.161400,0.824504
9,0.156997,0.157348,0.809670
10,0.147214,0.156778,0.824954
11,0.153203,0.178219,0.792955
12,0.149440,0.170744,0.815692
13,0.144493,0.163626,0.815207
14,0.151441,0.159559,0.823978
15,0.151010,0.172366,0.797575
16,0.145301,0.155941,0.828497
17,0.143173,0.169359,0.810393
18,0.139954,0.172052,0.819888
19,0.145783,0.158066,0.810690
20,0.165895,0.168252,0.803101
21,0.146423,0.157281,0.828491
22,0.139486,0.154471,0.823523
