epoch,train_loss,valid_loss,dice_score
0,0.685010,0.675824,0.210487
1,0.627349,1.349598,0.224293
2,0.578928,3.663060,0.257694
3,0.529835,1.538595,0.455891
4,0.476192,1.087157,0.527559
5,0.415314,0.448506,0.698822
6,0.351806,0.108241,0.890558
7,0.293462,0.239471,0.785393
8,0.243866,0.177460,0.823748
9,0.203748,0.120083,0.892152
10,0.171021,0.020067,0.964494
11,0.144729,0.071607,0.913623
12,0.123120,0.018814,0.940807
13,0.105362,0.008442,0.971716
14,0.090537,0.014172,0.966946
15,0.082482,0.655137,0.542696
16,0.075388,146.412201,0.119623
17,0.067065,14.119048,0.261713
18,0.059110,3.240704,0.244643
19,0.052042,0.944308,0.501437
