epoch,train_loss,valid_loss,dice_score,time
0,0.718589,0.567020,0.460752,01:15
1,0.587089,0.426154,0.620061,01:12
2,0.492023,0.279587,0.814312,01:13
3,0.411075,0.224592,0.858220,01:13
4,0.339874,0.141914,0.949992,01:13
5,0.285166,0.107245,0.949447,01:13
6,0.227765,0.080609,0.958397,01:13
7,0.177905,0.069891,0.961432,01:12
8,0.142180,0.062004,0.961634,01:13
9,0.117793,0.070047,0.952553,01:13
10,0.102078,0.050419,0.967359,01:12
11,0.084452,0.040441,0.972091,01:12
12,0.071744,0.031824,0.975271,01:13
13,0.061127,0.032586,0.972334,01:13
14,0.059158,0.030915,0.973927,01:13
15,0.049478,0.031359,0.967890,01:13
16,0.046230,0.046464,0.961612,01:12
17,0.049695,0.053163,0.962090,01:13
18,0.049174,0.041456,0.967051,01:12
