epoch,train_loss,valid_loss,dice_score,time
0,0.625115,0.515754,0.645850,00:43
1,0.552771,0.327308,0.266109,00:37
2,0.484992,0.127231,0.647310,00:36
3,0.414844,0.049241,0.876053,00:36
4,0.346161,0.064897,0.834026,00:36
5,0.281989,0.039005,0.938459,00:34
6,0.226510,0.141656,0.856452,00:36
7,0.182973,0.022535,0.871337,00:35
8,0.149853,0.079964,0.596252,00:36
9,0.123926,0.025364,0.892212,00:35
10,0.103220,0.015975,0.941895,00:35
11,0.086813,0.064390,0.879588,00:36
12,0.074143,0.290257,0.786750,00:36
13,0.063764,0.249698,0.788085,00:36
14,0.055181,0.014919,0.936746,00:36
15,0.048047,0.012781,0.954320,00:36
16,0.042327,0.015911,0.946086,00:37
17,0.037325,0.038867,0.928675,00:37
18,0.033173,0.012996,0.932735,00:36
19,0.029823,0.043719,0.849090,00:36
20,0.029687,20.251341,0.000000,00:38
21,0.045774,nan,0.000000,00:36
