epoch,train_loss,valid_loss,dice_score,time
0,0.609726,0.417110,0.594398,01:19
1,0.479304,0.305464,0.745773,01:17
2,0.400091,0.208843,0.886596,01:19
3,0.337954,0.163092,0.914299,01:17
4,0.297789,0.122120,0.917180,01:18
5,0.242762,0.121979,0.936634,01:19
6,0.213035,0.093940,0.937422,01:17
7,0.174040,0.079532,0.943001,01:17
8,0.148596,0.083704,0.940834,01:16
9,0.128405,0.086517,0.934267,01:17
10,0.112932,0.080725,0.942065,01:16
11,0.102200,0.076160,0.943964,01:17
12,0.091248,0.069323,0.944106,01:16
13,0.084703,0.056573,0.949037,01:17
14,0.077247,0.056427,0.951794,01:17
15,0.073059,0.059318,0.950440,01:17
16,0.064941,0.046148,0.959387,01:17
17,0.060207,0.053907,0.956324,01:16
18,0.055097,0.062158,0.948778,01:17
19,0.054318,0.065640,0.951084,01:16
20,0.058672,0.066529,0.946870,01:16
21,0.068882,0.072828,0.939692,01:16
22,0.068379,0.083134,0.935551,01:15
