epoch,train_loss,valid_loss,dice_score
0,0.737535,0.431886,0.604193
1,0.650171,0.405475,0.607014
2,0.595214,0.363369,0.637425
3,0.537161,0.332769,0.663527
4,0.491028,0.218723,0.758016
5,0.447425,0.111038,0.867459
6,0.401444,0.099435,0.903665
7,0.365551,0.104991,0.897802
8,0.321838,0.079222,0.907166
9,0.300444,0.103236,0.902715
10,0.279533,0.079002,0.902027
11,0.258775,0.074136,0.911560
12,0.235164,0.070134,0.914112
13,0.222350,0.067056,0.922599
14,0.207945,0.064842,0.919516
15,0.201663,0.075504,0.911074
16,0.192345,0.069166,0.928150
17,0.184023,0.068995,0.922316
18,0.179948,0.066704,0.927837
19,0.167266,0.066207,0.930073
20,0.154756,0.072595,0.916973
21,0.158762,0.119056,0.895071
22,0.170333,0.194890,0.842333
23,0.183453,0.143572,0.844904
24,0.187378,0.114532,0.888617
25,0.177899,0.120932,0.898517
