epoch,train_loss,valid_loss,dice_score,time
0,0.992098,0.983282,0.020683,01:18
1,0.986459,0.972752,0.030775,01:14
2,0.980612,0.963238,0.040329,01:14
3,0.974586,0.956060,0.051573,01:14
4,0.968900,0.941148,0.085671,01:15
5,0.954893,0.919729,0.105246,01:15
6,0.938671,0.899689,0.156009,01:17
7,0.924523,0.880242,0.185176,01:16
8,0.913334,0.996345,0.003120,01:14
9,0.892668,0.839812,0.274895,01:13
10,0.892201,0.830680,0.167816,01:11
11,0.857565,0.782185,0.234774,01:12
12,0.842954,0.758524,0.252190,01:13
13,0.819293,0.698725,0.328313,01:15
14,0.779218,0.652668,0.376688,01:15
15,0.746051,0.535903,0.490208,01:15
16,0.700761,0.514167,0.523265,01:14
17,0.697038,0.508506,0.554481,01:14
18,0.680749,0.441107,0.578350,01:13
19,0.633021,0.446150,0.587900,01:13
20,0.585839,0.398145,0.620113,01:13
21,0.544714,0.334997,0.664736,01:13
22,0.511207,0.322331,0.670634,01:12
23,0.493646,0.326656,0.669799,01:13
24,0.470406,0.316960,0.689304,01:13
25,0.442828,0.318502,0.700081,01:13
26,0.437802,0.286701,0.704098,01:13
27,0.425053,0.289172,0.714157,01:13
28,0.424669,0.269344,0.719244,01:14
29,0.399613,0.296657,0.710700,01:13
30,0.407430,0.294977,0.725711,01:13
31,0.395609,0.293556,0.727046,01:13
32,0.377946,0.274151,0.736735,01:13
33,0.374407,0.242927,0.745220,01:13
34,0.335698,0.256823,0.747745,01:13
35,0.317958,0.277846,0.737230,01:14
36,0.323641,0.305630,0.728122,01:13
37,0.314343,0.256637,0.743648,01:13
38,0.293393,0.264639,0.749337,01:13
39,0.298123,0.264952,0.745518,01:13
40,0.295300,0.253547,0.756444,01:13
41,0.289815,0.248540,0.756371,01:13
42,0.284669,0.253789,0.755424,01:13
43,0.280390,0.237734,0.763322,01:14
44,0.265409,0.238638,0.762645,01:14
45,0.267125,0.242062,0.760706,01:13
46,0.280147,0.242515,0.760807,01:12
47,0.278676,0.241494,0.761430,01:13
48,0.289320,0.240561,0.761911,01:13
49,0.295191,0.240395,0.762010,01:13
