epoch,train_loss,valid_loss,dice_score,time
0,0.993279,0.989945,0.015611,00:45
1,0.991644,0.984007,0.022436,00:44
2,0.989684,0.977933,0.029376,00:43
3,0.983381,0.972606,0.034964,00:44
4,0.976930,0.967137,0.042611,00:43
5,0.975288,0.962488,0.049707,00:43
6,0.969611,0.950157,0.075253,00:43
7,0.962212,0.935254,0.091416,00:43
8,0.954684,0.911598,0.135094,00:43
9,0.943564,0.908939,0.118892,00:43
10,0.936562,0.928170,0.086821,00:43
11,0.931005,0.889569,0.138296,00:43
12,0.924309,0.876216,0.151422,00:44
13,0.911299,0.852491,0.182641,00:44
14,0.899709,0.856652,0.170302,00:43
15,0.885414,0.837477,0.184998,00:44
16,0.880982,0.807180,0.227397,00:44
17,0.876804,0.752385,0.281191,00:43
18,0.849168,0.719992,0.308771,00:43
19,0.840257,0.721715,0.333108,00:44
20,0.823319,0.657261,0.381099,00:43
21,0.795379,0.634164,0.386496,00:44
22,0.782674,0.614560,0.482255,00:43
23,0.778710,0.585771,0.444846,00:43
24,0.750274,0.614789,0.405084,00:43
25,0.738247,0.553291,0.495751,00:44
26,0.728069,0.532939,0.496542,00:43
27,0.713918,0.468342,0.540283,00:43
28,0.691191,0.465370,0.542549,00:43
29,0.679455,0.456315,0.562410,00:44
30,0.634372,0.442401,0.572077,00:43
31,0.614188,0.408348,0.582989,00:44
32,0.592343,0.400634,0.590489,00:43
33,0.580645,0.376975,0.611607,00:43
34,0.571956,0.387875,0.608690,00:43
35,0.557959,0.395004,0.590779,00:43
36,0.543765,0.366376,0.626269,00:43
37,0.526766,0.364742,0.616854,00:44
38,0.515369,0.336570,0.642237,00:43
39,0.508006,0.344156,0.635437,00:43
40,0.483781,0.334969,0.646152,00:43
41,0.484846,0.327404,0.652896,00:44
42,0.467664,0.323907,0.652712,00:44
43,0.468147,0.326390,0.647980,00:43
44,0.454235,0.322624,0.650765,00:43
45,0.450668,0.314659,0.659754,00:43
46,0.453916,0.312529,0.662662,00:43
47,0.449424,0.311731,0.663749,00:43
48,0.453942,0.311535,0.663992,00:43
49,0.429285,0.311513,0.664014,00:43
