epoch,train_loss,valid_loss,dice_score
0,0.988305,0.965486,0.156205
1,0.967087,0.920586,0.507608
2,0.948925,0.893400,0.457309
3,0.931198,0.863460,0.491960
4,0.914281,0.816152,0.564397
5,0.881091,0.736838,0.552998
6,0.831769,0.615208,0.627932
7,0.773538,0.494179,0.580492
8,0.713342,0.372313,0.635748
9,0.643921,0.309874,0.664886
10,0.646243,0.564966,0.435435
11,0.608247,0.326675,0.625588
12,0.562922,0.300487,0.642488
13,0.531701,0.275056,0.675261
14,0.497139,0.267460,0.699743
15,0.466527,0.340526,0.635806
16,0.440371,0.262638,0.714404
17,0.425309,0.244223,0.722408
18,0.415432,0.242677,0.733249
19,0.398803,0.240475,0.740026
20,0.375628,0.269113,0.709844
21,0.354857,0.222283,0.748007
22,0.362999,0.556961,0.465773
23,0.395495,0.282888,0.654379
24,0.388552,0.259459,0.700034
25,0.374736,0.245884,0.710252
26,0.368415,0.240118,0.720297
27,0.349902,0.238356,0.729133
