epoch,train_loss,valid_loss,dice_score
0,0.996611,0.995072,0.006530
1,0.996339,0.992926,0.010238
2,0.996397,0.991911,0.012516
3,0.995719,0.990811,0.014235
4,0.993182,0.989529,0.015815
5,0.992589,0.987863,0.017993
6,0.991313,0.985478,0.021094
7,0.990680,0.982446,0.024630
8,0.990306,0.979500,0.028031
9,0.988628,0.976643,0.030871
10,0.986726,0.973653,0.033726
11,0.985091,0.970486,0.037121
12,0.982349,0.967633,0.040946
13,0.981510,0.964722,0.045713
14,0.978198,0.961069,0.054072
15,0.977091,0.951875,0.078251
16,0.974254,0.945166,0.077503
17,0.972304,0.934202,0.094538
18,0.968791,0.923603,0.117903
19,0.965274,0.909344,0.116133
20,0.961604,0.894926,0.135016
21,0.954878,0.915563,0.100394
22,0.951483,0.888149,0.154858
23,0.946855,0.900547,0.115181
24,0.942041,0.902159,0.114239
25,0.937507,0.886143,0.141615
26,0.934983,0.873511,0.165053
27,0.924679,0.851956,0.218607
28,0.922811,0.980311,0.028413
29,0.919812,0.876475,0.150494
30,0.914467,0.856161,0.222210
31,0.912609,0.837549,0.196859
32,0.905579,0.806278,0.233883
33,0.902344,0.847967,0.173617
34,0.895164,0.716335,0.332359
35,0.885980,0.617900,0.425222
36,0.882289,0.749800,0.279103
37,0.869299,0.585089,0.442506
38,0.860777,0.630940,0.386314
39,0.840387,0.482604,0.529241
40,0.825308,0.523666,0.479238
41,0.808812,0.516946,0.488485
42,0.791661,0.430787,0.560368
43,0.768154,0.449730,0.540715
44,0.757973,0.411687,0.585436
45,0.742997,0.480435,0.509880
46,0.716363,0.407480,0.568921
47,0.701772,0.400019,0.574705
48,0.696426,0.396145,0.580285
49,0.670746,0.411226,0.559510
50,0.665213,0.487929,0.504490
