epoch,train_loss,valid_loss,dice_score
0,0.699480,0.681647,0.028325
1,0.693495,0.686374,0.014023
2,0.688378,0.702891,0.003943
3,0.683239,0.690357,0.005318
4,0.677399,0.668296,0.021286
5,0.670300,0.646261,0.073295
6,0.661255,0.620534,0.111719
7,0.649512,0.581873,0.186693
8,0.634155,0.542561,0.321944
9,0.614568,0.493252,0.616588
10,0.589262,0.429481,0.639098
11,0.557925,0.327917,0.714237
12,0.520181,0.266201,0.672621
13,0.476958,0.203764,0.757120
14,0.429900,0.165726,0.726650
15,0.381524,0.124498,0.788829
16,0.333995,0.084096,0.786376
17,0.289663,0.062307,0.701149
18,0.249445,0.046706,0.817680
19,0.213795,0.035084,0.821022
20,0.182721,0.026249,0.822445
21,0.155891,0.020804,0.811151
22,0.132918,0.016920,0.837253
23,0.113237,0.036758,0.394720
24,0.097566,18.388605,0.011480
25,0.083689,0.154732,0.172535
26,0.071669,0.008063,0.477667
27,0.061339,0.010705,0.718908
28,0.052505,0.007368,0.745081
