epoch,train_loss,valid_loss,dice_score,time
0,0.976330,0.945867,0.178117,01:22
1,0.921423,0.855735,0.578953,01:16
2,0.856487,0.744975,0.652563,01:17
3,0.790073,0.563346,0.756115,01:19
4,0.669923,0.368499,0.731740,01:17
5,0.567283,0.315147,0.747116,01:17
6,0.485363,0.247178,0.779049,01:19
7,0.413100,0.188818,0.811351,01:16
8,0.376008,0.199498,0.803617,01:17
9,0.336414,0.178837,0.819641,01:18
10,0.296159,0.163060,0.813069,01:17
11,0.268887,0.170775,0.827976,01:18
12,0.258907,0.265793,0.771504,01:16
13,0.274663,0.216445,0.790812,01:20
14,0.261809,0.236218,0.776000,01:16
15,0.259559,0.171936,0.821300,01:17
16,0.235754,0.170522,0.839579,01:18
17,0.221843,0.179329,0.829684,01:16
18,0.214795,0.152179,0.848438,01:17
19,0.207013,0.150984,0.853620,01:19
20,0.191934,0.146232,0.858602,01:16
21,0.187098,0.142152,0.861930,01:16
22,0.182476,0.143479,0.861310,01:17
23,0.181288,0.139567,0.859019,01:17
24,0.178451,0.142524,0.859622,01:16
25,0.168995,0.138333,0.861425,01:18
26,0.173183,0.139192,0.865673,01:17
27,0.167649,0.135864,0.865442,01:16
28,0.161900,0.138845,0.868466,01:17
29,0.160257,0.137207,0.866848,01:16
30,0.153646,0.136780,0.868973,01:16
31,0.151988,0.132274,0.871147,01:18
32,0.144392,0.134767,0.873875,01:16
33,0.145713,0.129894,0.869654,01:16
34,0.142769,0.127390,0.874338,01:17
35,0.139310,0.129125,0.874329,01:16
36,0.141266,0.126135,0.875353,01:16
37,0.141669,0.127012,0.876769,01:17
38,0.142755,0.128547,0.875742,01:17
39,0.141339,0.127305,0.877177,01:16
40,0.140303,0.124899,0.875653,01:17
41,0.142561,0.125180,0.875131,01:17
42,0.140542,0.124878,0.875987,01:16
43,0.144591,0.125653,0.876167,01:18
44,0.138291,0.124830,0.875839,01:16
45,0.139853,0.124520,0.876298,01:15
