epoch,train_loss,valid_loss,dice_score
0,0.995372,0.993280,0.007892
1,0.992691,0.985930,0.023949
2,0.981499,0.977721,0.065938
3,0.979012,0.970833,0.125384
4,0.978626,0.966969,0.117454
5,0.968921,0.962828,0.250136
6,0.965679,0.957696,0.146522
7,0.967747,0.949713,0.221382
8,0.965014,0.939591,0.294943
9,0.952173,0.930695,0.194084
10,0.935726,0.918454,0.504880
11,0.930167,0.891405,0.219899
12,0.923160,0.843485,0.511551
13,0.918350,0.792832,0.318982
14,0.899194,0.643130,0.514789
15,0.894073,0.824440,0.216174
16,0.892921,0.876217,0.151350
17,0.878161,0.754169,0.301564
18,0.874074,0.999882,0.000000
19,0.883056,0.999881,0.000000
20,0.891146,0.999880,0.000000
