epoch,train_loss,valid_loss,dice_score,time
0,0.992480,0.994038,0.018770,00:13
1,0.994250,0.992452,0.039418,00:13
2,0.994411,0.989099,0.045952,00:13
3,0.993645,0.978349,0.059594,00:13
4,0.989695,0.962501,0.159637,00:13
5,0.985674,0.945176,0.222922,00:13
6,0.978653,0.914010,0.430335,00:14
7,0.974768,0.951206,0.102647,00:14
8,0.970329,0.911023,0.176037,00:13
9,0.957104,0.899875,0.363356,00:13
10,0.950710,0.845922,0.300849,00:13
11,0.949156,0.782723,0.485704,00:13
12,0.924774,0.706559,0.525874,00:14
13,0.910160,0.610500,0.536327,00:14
14,0.911285,0.584733,0.498712,00:14
15,0.889115,0.520572,0.542948,00:13
16,0.881240,0.844021,0.168190,00:14
17,0.879784,0.887548,0.118185,00:13
18,0.880265,0.883002,0.123638,00:13
19,0.877928,0.857762,0.150704,00:13
20,0.879557,0.790922,0.222194,00:14
21,0.870693,0.736401,0.257563,00:13
