epoch,train_loss,valid_loss,dice_score
0,0.992356,0.983033,0.026445
1,0.985280,0.973025,0.033238
2,0.976159,0.969210,0.037745
3,0.971491,0.983400,0.141125
4,0.935531,0.908135,0.125936
5,0.938404,0.839439,0.273874
6,0.911760,0.805170,0.346820
7,0.905200,0.795940,0.305926
8,0.869551,0.773504,0.424909
9,0.846236,0.712034,0.362573
10,0.841292,0.621515,0.467200
11,0.837287,0.996803,0.005456
12,0.852909,0.997186,0.005246
13,0.865999,0.929819,0.089987
14,0.862698,0.750219,0.272430
15,0.864885,0.528896,0.446639
16,0.860448,0.539304,0.484155
17,0.840534,0.492816,0.523329
18,0.808309,0.448904,0.560399
19,0.805308,0.525344,0.480066
20,0.788152,0.463596,0.496525
21,0.778394,0.539114,0.469881
22,0.766463,0.424612,0.577963
23,0.757962,0.438330,0.563993
24,0.734845,0.402810,0.587095
25,0.718233,0.860089,0.157551
26,0.715140,0.541934,0.452137
27,0.707946,0.487469,0.532314
28,0.711221,0.511213,0.518592
29,0.710924,0.743784,0.257987
30,0.710652,0.422553,0.585588
