epoch,train_loss,valid_loss,dice_score
0,0.988394,0.921363,0.176957
1,0.944564,0.849988,0.327324
2,0.906603,0.845151,0.249630
3,0.892795,0.801853,0.497762
4,0.887028,0.754422,0.534439
5,0.878049,0.736766,0.338562
6,0.860967,0.633799,0.571801
7,0.836429,0.523945,0.607645
8,0.822654,0.760904,0.274684
9,0.790007,0.611876,0.518382
10,0.774249,0.451793,0.608826
11,0.732448,0.317318,0.643381
12,0.729457,0.355421,0.624821
13,0.709851,0.288477,0.670594
14,0.676768,0.283431,0.676571
15,0.653667,0.560481,0.445084
16,0.631838,0.272192,0.704819
17,0.599988,0.274649,0.710090
18,0.583094,0.261142,0.720440
19,0.547806,0.250486,0.728703
20,0.519860,0.211999,0.771385
21,0.497886,0.230747,0.771099
22,0.479436,0.218719,0.775383
23,0.453758,0.219580,0.777090
24,0.436712,0.186298,0.802361
25,0.423810,0.498481,0.477852
26,0.426254,0.255064,0.733713
27,0.417547,0.215266,0.763325
28,0.411038,0.233338,0.739417
29,0.395490,0.227437,0.753315
30,0.387975,0.199930,0.784917
