epoch,train_loss,valid_loss,dice_score
0,0.952647,0.892381,0.384719
1,0.894598,0.842276,0.344707
2,0.841412,0.749347,0.603688
3,0.800657,0.679370,0.566825
4,0.749334,0.609418,0.669641
5,0.678918,0.474918,0.697165
6,0.620288,0.489347,0.535731
7,0.594726,0.418912,0.706795
8,0.543314,0.346671,0.717419
9,0.502647,0.306253,0.755718
10,0.459366,0.318672,0.762199
11,0.423348,0.296874,0.793717
12,0.388121,0.294079,0.772141
13,0.369432,0.263460,0.797382
14,0.344914,0.250140,0.776226
15,0.334531,0.290815,0.783029
16,0.320877,0.273573,0.806549
17,0.301253,0.261627,0.820578
18,0.291257,0.263418,0.821409
19,0.281807,0.361210,0.768916
20,0.270147,0.273348,0.797618
21,0.271819,0.266083,0.795994
22,0.259096,0.275180,0.808412
23,0.246333,0.253711,0.827905
24,0.245717,0.247578,0.829578
25,0.233187,0.249511,0.811783
26,0.226303,0.221754,0.842393
27,0.219286,0.210893,0.835749
28,0.212002,0.228804,0.818301
29,0.211904,0.210410,0.833298
30,0.207294,0.216480,0.834825
31,0.207105,0.247621,0.804337
32,0.226215,0.796258,0.315092
